,Stkcd,year,EX_INDAT_read,AT
703,000566,2020,37.0,10204.0
704,000568,2016,,
705,000568,2017,,
706,000568,2018,2.0,28.0
709,000570,2016,,
710,000570,2017,,
711,000570,2018,6.0,7.0
712,000570,2019,10.0,2689.0
713,000570,2020,8.0,1871.0
714,000572,2016,,
715,000572,2017,,
716,000572,2018,11.0,49.0
718,000572,2020,15.0,9264.0
719,000573,2016,,
720,000573,2017,,
721,000573,2018,19.0,5.0
722,000573,2019,15.0,1806.0
723,000573,2020,10.0,2131.0
724,000576,2016,,
725,000576,2017,,
726,000576,2018,3.0,31.0
727,000576,2019,4.0,5893.0
728,000576,2020,16.0,5562.0
729,000581,2016,,
730,000581,2017,,
731,000581,2018,11.0,11.0
732,000581,2019,18.0,3095.0
733,000581,2020,15.0,3848.0
734,000582,2016,,
735,000582,2017,,
736,000582,2018,2.0,8.0
737,000582,2019,2.0,3356.0
738,000582,2020,0.0,4268.0
739,000584,2016,,
740,000584,2017,,
741,000584,2018,3.0,17.0
742,000584,2019,9.0,2822.0
743,000584,2020,16.0,1805.0
744,000586,2016,,
745,000586,2017,,
746,000586,2018,51.0,12.0
748,000586,2020,70.0,2230.0
749,000589,2016,,
750,000589,2017,,
751,000589,2018,5.0,18.0
753,000589,2020,5.0,4295.0
754,000590,2016,,
755,000590,2017,,
756,000590,2018,26.0,87.0
757,000590,2019,17.0,7188.0
758,000590,2020,37.0,4172.0
759,000591,2016,,
760,000591,2017,,
761,000591,2018,5.0,10.0
762,000591,2019,7.0,3520.0
764,000592,2016,,
765,000592,2017,,
766,000592,2018,0.0,10.0
767,000592,2019,0.0,7246.0
768,000592,2020,0.0,8665.0
769,000593,2016,,
770,000593,2017,,
771,000593,2018,3.0,6.0
772,000593,2019,1.0,3256.0
773,000593,2020,0.0,2930.0
774,000595,2016,,
775,000595,2017,,
776,000595,2018,6.0,19.0
777,000595,2019,10.0,9042.0
778,000595,2020,8.0,2033.0
779,000596,2016,,
780,000596,2017,,
781,000596,2018,2.0,24.0
782,000596,2019,3.0,3618.0
783,000596,2020,5.0,5226.0
784,000597,2016,,
785,000597,2017,,
786,000597,2018,26.0,4.0
787,000597,2019,17.0,1849.0
788,000597,2020,37.0,4025.0
789,000598,2016,,
790,000598,2017,,
791,000598,2018,0.0,36.0
792,000598,2019,0.0,3428.0
793,000598,2020,0.0,2775.0
794,000599,2016,,
795,000599,2017,,
796,000599,2018,5.0,35.0
797,000599,2019,4.0,4384.0
798,000599,2020,5.0,3904.0
799,000600,2016,,
800,000600,2017,,
801,000600,2018,5.0,7.0
802,000600,2019,7.0,2322.0
803,000600,2020,5.0,1887.0
804,000601,2016,,
805,000601,2017,,
806,000601,2018,5.0,10.0
807,000601,2019,7.0,1594.0
808,000601,2020,5.0,4750.0
809,000603,2016,,
810,000603,2017,,
811,000603,2018,10.0,13.0
812,000603,2019,7.0,6196.0
813,000603,2020,4.0,6291.0
814,000605,2016,,
815,000605,2017,,
816,000605,2018,0.0,12.0
817,000605,2019,0.0,1563.0
818,000605,2020,0.0,1572.0
819,000607,2016,,
820,000607,2017,,
821,000607,2018,2.0,10.0
822,000607,2019,1.0,5280.0
823,000607,2020,2.0,2020.0
824,000608,2016,,
825,000608,2017,,
826,000608,2018,19.0,7.0
827,000608,2019,15.0,855.0
828,000608,2020,10.0,1194.0
829,000610,2016,,
830,000610,2017,,
831,000610,2018,0.0,37.0
833,000610,2020,0.0,6642.0
834,000612,2016,,
835,000612,2017,,
836,000612,2018,17.0,3.0
837,000612,2019,12.0,4555.0
838,000612,2020,10.0,9226.0
839,000615,2016,,
840,000615,2017,,
841,000615,2018,19.0,14.0
842,000615,2019,15.0,3934.0
843,000615,2020,10.0,7363.0
844,000619,2016,,
845,000619,2017,,
846,000619,2018,5.0,12.0
847,000619,2019,4.0,2234.0
848,000619,2020,5.0,1676.0
849,000620,2016,,
850,000620,2017,,
851,000620,2018,19.0,1496.0
852,000620,2019,15.0,2905.0
853,000620,2020,10.0,2858.0
854,000622,2016,,
855,000622,2017,,
857,000622,2019,9.0,9406.0
858,000622,2020,16.0,3527.0
859,000623,2016,,
860,000623,2017,,
861,000623,2018,26.0,624.0
862,000623,2019,17.0,2592.0
863,000623,2020,37.0,4728.0
864,000625,2016,,
865,000625,2017,,
869,000626,2016,,
870,000626,2017,,
872,000626,2019,6.0,3547.0
873,000626,2020,5.0,1728.0
874,000628,2016,,
875,000628,2017,,
876,000628,2018,0.0,1184.0
877,000628,2019,0.0,2492.0
878,000628,2020,0.0,1514.0
879,000629,2016,,
880,000629,2017,,
883,000629,2020,10.0,7679.0
884,000630,2016,,
885,000630,2017,,
886,000630,2018,17.0,969.0
887,000630,2019,12.0,6846.0
888,000630,2020,10.0,7175.0
889,000631,2016,,
890,000631,2017,,
891,000631,2018,19.0,750.0
892,000631,2019,15.0,1830.0
893,000631,2020,10.0,1122.0
894,000632,2016,,
895,000632,2017,,
896,000632,2018,11.0,723.0
897,000632,2019,6.0,1427.0
898,000632,2020,5.0,1868.0
899,000633,2016,,
900,000633,2017,,
