,Stkcd,Time,ROA_TTM
669,000557,2016-12-31,0.001571
670,000557,2017-12-31,0.017237
671,000557,2018-12-31,0.027245
672,000557,2019-12-31,0.008103
673,000557,2020-12-31,0.031928
674,000558,2016-12-31,0.020454
675,000558,2017-12-31,0.017642
676,000558,2018-12-31,-0.020452
677,000558,2019-12-31,0.009455
678,000558,2020-12-31,-0.031927
679,000559,2016-12-31,0.0734
680,000559,2017-12-31,0.080144
681,000559,2018-12-31,0.063492
682,000559,2019-12-31,0.045345
683,000559,2020-12-31,0.03224
684,000560,2016-12-31,0.013719
685,000560,2017-12-31,0.006362
686,000560,2018-12-31,0.039204
687,000560,2019-12-31,0.045178
688,000560,2020-12-31,0.016401
689,000561,2016-12-31,0.046336
690,000561,2017-12-31,0.034973
691,000561,2018-12-31,0.034898
692,000561,2019-12-31,0.031682
693,000561,2020-12-31,0.032435
694,000565,2016-12-31,0.186741
695,000565,2017-12-31,0.055877
696,000565,2018-12-31,0.029753
697,000565,2019-12-31,0.043163
698,000565,2020-12-31,0.035221
699,000566,2016-12-31,0.021993
700,000566,2017-12-31,0.008058
701,000566,2018-12-31,0.009798
702,000566,2019-12-31,-0.018438
703,000566,2020-12-31,-0.062173
704,000568,2016-12-31,0.145198
705,000568,2017-12-31,0.155671
706,000568,2018-12-31,0.165742
707,000568,2019-12-31,0.180194
708,000568,2020-12-31,0.18641
709,000570,2016-12-31,0.018317
710,000570,2017-12-31,0.012629
711,000570,2018-12-31,0.017203
712,000570,2019-12-31,0.007103
713,000570,2020-12-31,0.014054
714,000572,2016-12-31,0.000729
715,000572,2017-12-31,-0.083272
716,000572,2018-12-31,-0.166843
717,000572,2019-12-31,0.008799
718,000572,2020-12-31,-0.128631
719,000573,2016-12-31,0.064723
720,000573,2017-12-31,0.011097
721,000573,2018-12-31,0.012398
722,000573,2019-12-31,0.017334
723,000573,2020-12-31,-0.039844
724,000576,2016-12-31,0.057937
725,000576,2017-12-31,-0.203747
726,000576,2018-12-31,0.074837
727,000576,2019-12-31,0.066496
728,000576,2020-12-31,0.391057
729,000581,2016-12-31,0.104708
730,000581,2017-12-31,0.141204
731,000581,2018-12-31,0.119947
